取引日,出金金額(円),入金金額(円),海外出金金額,通貨,変換レート(円),利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2026/08/28 19:41:02,1280,,,JPY,,日本,支払い,ファミリーマート 新宿三丁目店,PayPay残高,一括,本人,25082800112
2026/08/27 08:12:33,168,,,JPY,,日本,支払い,セブン-イレブン 神田駅前店,PayPay残高,一括,本人,25082700231
2026/08/26 21:03:11,4820,,,JPY,,日本,支払い,ライフ 早稲田店,PayPayあと払い,一括,本人,25082600874
2026/08/25 12:30:45,980,,,JPY,,日本,支払い,丸亀製麺 大手町店,PayPay残高,一括,本人,25082500661
2026/08/24 17:22:09,,10000,,JPY,,日本,チャージ,銀行口座からのチャージ,銀行口座,,本人,25082400020
2026/08/23 14:05:51,3300,,,JPY,,日本,支払い,ユニクロ 池袋東口店,PayPay残高,一括,本人,25082300415
2026/08/22 09:47:12,220,,,JPY,,日本,支払い,ドトールコーヒー 秋葉原店,PayPay残高,一括,本人,25082200188
2026/08/20 20:15:38,6480,,,JPY,,日本,支払い,ヤフーショッピング,PayPayあと払い,一括,本人,25082000733
2026/08/18 07:55:04,1500,,,JPY,,日本,支払い,東京メトロ モバイルチケット,PayPay残高,一括,本人,25081800097
2026/08/16 13:12:27,2760,,,JPY,,日本,支払い,マツモトキヨシ 高田馬場店,PayPay残高,一括,本人,25081600552
2026/08/14 19:38:16,3980,,,JPY,,日本,支払い,鳥貴族 新宿西口店,PayPay残高,一括,本人,25081400919
2026/08/12 11:02:44,,320,,JPY,,日本,ポイント特典,PayPayポイント付与,ポイント,,本人,25081200004
2026/08/10 18:44:52,1180,,,JPY,,日本,支払い,ローソン 早稲田通り店,PayPay残高,一括,本人,25081000377
2026/08/07 21:20:31,1490,,,JPY,,日本,支払い,Netflix,PayPayあと払い,一括,本人,25080700612
2026/08/05 12:48:19,860,,,JPY,,日本,支払い,スターバックス 丸の内店,PayPay残高,一括,本人,25080500240
2026/08/03 16:31:07,,3000,,JPY,,日本,受け取り,友人からの送金,個人間送金,,本人,25080300011
2026/08/01 10:15:22,9800,,,JPY,,日本,請求書支払い,東京電力エナジーパートナー,PayPay残高,一括,本人,25080100066
2026/07/29 19:26:40,1620,,,JPY,,日本,支払い,セブン-イレブン 九段下店,PayPay残高,一括,本人,25072900488
2026/07/27 15:04:55,5240,,,JPY,,日本,支払い,イオン 板橋店,PayPayあと払い,一括,本人,25072700701
2026/07/25 08:33:18,,15000,,JPY,,日本,チャージ,銀行口座からのチャージ,銀行口座,,本人,25072500018
2026/07/23 20:11:36,2980,,,JPY,,日本,支払い,ドン・キホーテ 新宿店,PayPay残高,一括,本人,25072300845
2026/07/21 12:57:29,1050,,,JPY,,日本,支払い,マクドナルド 飯田橋店,PayPay残高,一括,本人,25072100322
2026/07/19 18:02:13,3400,,,JPY,,日本,支払い,ビックカメラ 有楽町店,PayPayあと払い,一括,本人,25071900590
2026/07/17 09:21:48,190,,,JPY,,日本,支払い,ニューデイズ 御茶ノ水店,PayPay残高,一括,本人,25071700134
2026/07/15 21:39:02,4560,,,JPY,,日本,支払い,焼肉ライク 池袋店,PayPay残高,一括,本人,25071500967
2026/07/12 14:18:55,1280,,,JPY,,日本,支払い,ツルハドラッグ 神楽坂店,PayPay残高,一括,本人,25071200409
2026/07/09 11:44:20,780,,,JPY,,日本,支払い,タリーズコーヒー 水道橋店,PayPay残高,一括,本人,25070900255
2026/07/06 19:55:41,2240,,,JPY,,日本,支払い,ライフ 早稲田店,PayPay残高,一括,本人,25070600684
2026/07/03 08:09:33,1200,,,JPY,,日本,支払い,タイムズパーキング 新宿,PayPay残高,一括,本人,25070300121
2026/07/01 10:05:11,8600,,,JPY,,日本,請求書支払い,東京ガス,PayPay残高,一括,本人,25070100059
2026/06/28 20:41:07,3120,,,JPY,,日本,支払い,サイゼリヤ 高田馬場店,PayPay残高,一括,本人,25062800812
2026/06/26 13:22:44,1980,,,JPY,,日本,支払い,無印良品 有楽町店,PayPayあと払い,一括,本人,25062600533
2026/06/24 08:47:52,168,,,JPY,,日本,支払い,セブン-イレブン 神田駅前店,PayPay残高,一括,本人,25062400176
2026/06/22 17:30:29,,20000,,JPY,,日本,チャージ,セブン銀行ATMからのチャージ,ATM,,本人,25062200015
2026/06/20 12:11:38,1340,,,JPY,,日本,支払い,吉野家 三田店,PayPay残高,一括,本人,25062000348
2026/06/17 21:04:16,2680,,,JPY,,日本,支払い,ウエルシア 中野店,PayPay残高,一括,本人,25061700729
2026/06/14 15:52:03,12800,,,JPY,,日本,支払い,ZOZOTOWN,PayPayあと払い,一括,本人,25061400901
2026/06/11 09:36:47,220,,,JPY,,日本,支払い,ドトールコーヒー 秋葉原店,PayPay残高,一括,本人,25061100162
2026/06/08 18:25:31,4380,,,JPY,,日本,支払い,西友 中野店,PayPay残高,一括,本人,25060800604
2026/06/05 22:13:09,1490,,,JPY,,日本,支払い,Netflix,PayPayあと払い,一括,本人,25060500288
2026/06/02 10:02:55,9200,,,JPY,,日本,請求書支払い,東京電力エナジーパートナー,PayPay残高,一括,本人,25060200048
2026/05/30 19:18:24,2260,,,JPY,,日本,支払い,ファミリーマート 新宿三丁目店,PayPay残高,一括,本人,25053000751
2026/05/27 12:45:11,1180,,,JPY,,日本,支払い,松屋 早稲田店,PayPay残高,一括,本人,25052700330
2026/05/24 16:07:39,7400,,,JPY,,日本,支払い,ヨドバシカメラ 新宿西口店,PayPayあと払い,一括,本人,25052400878
2026/05/21 08:29:02,,12000,,JPY,,日本,チャージ,銀行口座からのチャージ,銀行口座,,本人,25052100022
2026/05/18 20:50:47,3860,,,JPY,,日本,支払い,ライフ 早稲田店,PayPay残高,一括,本人,25051800693
2026/05/15 11:32:18,540,,,JPY,,日本,支払い,ミスタードーナツ 池袋店,PayPay残高,一括,本人,25051500207
2026/05/12 18:44:36,1720,,,JPY,,日本,支払い,ローソン 早稲田通り店,PayPay残高,一括,本人,25051200466
2026/05/09 14:21:53,2980,,,JPY,,日本,支払い,GU 新宿店,PayPay残高,一括,本人,25050900589
2026/05/06 09:58:12,320,,,JPY,,日本,支払い,セブン-イレブン 九段下店,PayPay残高,一括,本人,25050600143
2026/05/02 10:11:29,8900,,,JPY,,日本,請求書支払い,東京ガス,PayPay残高,一括,本人,25050200051
2026/04/28 19:37:44,4120,,,JPY,,日本,支払い,イオン 板橋店,PayPayあと払い,一括,本人,25042800826
2026/04/24 12:19:07,980,,,JPY,,日本,支払い,丸亀製麺 大手町店,PayPay残高,一括,本人,25042400311
2026/04/20 21:02:51,,5000,,JPY,,日本,受け取り,わりかん精算,個人間送金,,本人,25042000009
2026/04/16 15:48:33,6300,,,JPY,,日本,支払い,ニトリ 錦糸町店,PayPayあと払い,一括,本人,25041600742
2026/04/12 08:55:20,168,,,JPY,,日本,支払い,セブン-イレブン 神田駅前店,PayPay残高,一括,本人,25041200155
2026/04/08 20:26:14,2540,,,JPY,,日本,支払い,ガスト 高田馬場店,PayPay残高,一括,本人,25040800637
2026/04/03 10:07:38,9100,,,JPY,,日本,請求書支払い,東京電力エナジーパートナー,PayPay残高,一括,本人,25040300043
2026/03/29 18:12:56,3280,,,JPY,,日本,支払い,西友 中野店,PayPay残高,一括,本人,25032900718
2026/03/25 13:41:22,1490,,,JPY,,日本,支払い,Netflix,PayPayあと払い,一括,本人,25032500274
2026/03/21 09:24:45,220,,,JPY,,日本,支払い,ドトールコーヒー 秋葉原店,PayPay残高,一括,本人,25032100118
2026/03/17 20:33:09,5680,,,JPY,,日本,支払い,鳥貴族 新宿西口店,PayPay残高,一括,本人,25031700865
